#T,max_R_bbc,max_R_bbc_CI_lo,max_R_bbc_CI_hi,max_AIS_bbc,max_AIS_bbc_CI_lo,max_AIS_bbc_CI_hi,number_of_bins_d_bbc,scaling_k_bbc,first_bin_size_bbc,max_R_shuffling,max_R_shuffling_CI_lo,max_R_shuffling_CI_hi,max_AIS_shuffling,max_AIS_shuffling_CI_lo,max_AIS_shuffling_CI_hi,number_of_bins_d_shuffling,scaling_k_shuffling,first_bin_size_shuffling
0.00500,0.00619,0.00619,0.00619,0.00186,0.00186,0.00186,5.00000,0.00000,0.00100,-,-,-,-,-,-,-,-,-
0.00561,0.00648,0.00648,0.00648,0.00194,0.00194,0.00194,5.00000,0.00000,0.00112,-,-,-,-,-,-,-,-,-
0.00629,0.00691,0.00691,0.00691,0.00207,0.00207,0.00207,5.00000,0.00000,0.00126,-,-,-,-,-,-,-,-,-
0.00706,0.00715,0.00715,0.00715,0.00214,0.00214,0.00214,5.00000,0.00000,0.00141,-,-,-,-,-,-,-,-,-
0.00792,0.00707,0.00707,0.00707,0.00212,0.00212,0.00212,5.00000,0.00000,0.00158,-,-,-,-,-,-,-,-,-
0.00889,0.00696,0.00696,0.00696,0.00208,0.00208,0.00208,5.00000,0.00000,0.00178,-,-,-,-,-,-,-,-,-
0.00998,0.00716,0.00716,0.00716,0.00214,0.00214,0.00214,5.00000,0.00000,0.00200,-,-,-,-,-,-,-,-,-
0.01119,0.00753,0.00753,0.00753,0.00226,0.00226,0.00226,5.00000,0.00000,0.00224,-,-,-,-,-,-,-,-,-
0.01256,0.00787,0.00787,0.00787,0.00236,0.00236,0.00236,5.00000,0.00000,0.00251,-,-,-,-,-,-,-,-,-
0.01409,0.00740,0.00740,0.00740,0.00222,0.00222,0.00222,5.00000,0.00000,0.00282,-,-,-,-,-,-,-,-,-
0.01581,0.00786,0.00786,0.00786,0.00235,0.00235,0.00235,5.00000,0.00000,0.00316,-,-,-,-,-,-,-,-,-
0.01774,0.00808,0.00808,0.00808,0.00242,0.00242,0.00242,5.00000,0.00000,0.00355,-,-,-,-,-,-,-,-,-
0.01991,0.00784,0.00784,0.00784,0.00235,0.00235,0.00235,5.00000,0.00000,0.00398,-,-,-,-,-,-,-,-,-
0.02233,0.00848,0.00848,0.00848,0.00254,0.00254,0.00254,5.00000,0.00000,0.00447,-,-,-,-,-,-,-,-,-
0.02506,0.00815,0.00815,0.00815,0.00244,0.00244,0.00244,5.00000,0.00000,0.00501,-,-,-,-,-,-,-,-,-
0.02812,0.00852,0.00852,0.00852,0.00255,0.00255,0.00255,5.00000,0.02483,0.00500,-,-,-,-,-,-,-,-,-
0.03155,0.00883,0.00883,0.00883,0.00265,0.00265,0.00265,5.00000,0.01197,0.00597,-,-,-,-,-,-,-,-,-
0.03540,0.00903,0.00903,0.00903,0.00271,0.00271,0.00271,5.00000,0.06993,0.00500,-,-,-,-,-,-,-,-,-
0.03972,0.00867,0.00867,0.00867,0.00260,0.00260,0.00260,5.00000,0.09107,0.00500,-,-,-,-,-,-,-,-,-
0.04456,0.00863,0.00863,0.00863,0.00259,0.00259,0.00259,5.00000,0.11141,0.00500,-,-,-,-,-,-,-,-,-
0.05000,0.00888,0.00888,0.00888,0.00266,0.00266,0.00266,5.00000,0.13110,0.00500,-,-,-,-,-,-,-,-,-
0.05610,0.00913,0.00913,0.00913,0.00274,0.00274,0.00274,5.00000,0.15019,0.00500,-,-,-,-,-,-,-,-,-
0.06295,0.00918,0.00918,0.00918,0.00275,0.00275,0.00275,5.00000,0.15000,0.00562,-,-,-,-,-,-,-,-,-
0.06441,0.00849,0.00849,0.00849,0.00254,0.00254,0.00254,5.00000,0.11493,0.00708,-,-,-,-,-,-,-,-,-
0.06591,0.00882,0.00882,0.00882,0.00264,0.00264,0.00264,5.00000,0.17603,0.00500,-,-,-,-,-,-,-,-,-
0.06745,0.00935,0.00935,0.00935,0.00280,0.00280,0.00280,5.00000,0.15969,0.00567,-,-,-,-,-,-,-,-,-
